,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(0, -1, 1)",1424.57,267.42,5.35,255.2,"(0, 1, 1)",8.225773185543106,49.985046728971966,-216.28971962616822
1,"(0, 2, -1)",378.4,162.08,3.25,19.6,"(0, 2, 1)",5.20243575645101,49.870769230769234,-66.55999999999999
2,"(2, 0, 1)",378.4,167.26,3.36,481.8,"(0, 2, 1)",5.202435756451011,49.779761904761905,-62.839285714285715
3,"(0, -1, 2)",378.4,192.65,3.87,496.8,"(0, 2, 1)",5.20243575645101,49.78036175710594,-47.99741602067183
4,"(-2, 1, -1)",87.67,121.1,2.44,273.6,"(1, 2, 1)",4.749152362966118,49.631147540983605,13.700819672131145
5,"(-1, 2, -1)",87.67,92.66,1.87,92.3,"(1, 2, 1)",4.749152362966117,49.55080213903743,2.6684491978609595
6,"(-1, 1, -2)",87.67,77.15,1.57,440.9,"(1, 2, 1)",4.749152362966118,49.140127388535035,-6.700636942675157
7,"(2, -1, 1)",87.67,122.98,2.48,270.4,"(1, 2, 1)",4.749152362966118,49.58870967741936,14.237903225806452
8,"(1, -2, 1)",87.67,89.19,1.8,89.3,"(1, 2, 1)",4.749152362966117,49.55,0.8444444444444422
9,"(1, -1, 2)",87.67,77.2,1.57,437.7,"(1, 2, 1)",4.749152362966118,49.17197452229299,-6.668789808917197
10,"(2, 1, -1)",87.67,74.77,1.5,374.5,"(1, 2, 1)",4.749152362966118,49.846666666666664,-8.600000000000003
11,"(-2, 0, -2)",1256.73,243.3,4.88,579.4,"(0, 2, 2)",4.112886592771553,49.856557377049185,-207.67008196721312
12,"(-1, -2, 2)",457.3,254.24,5.1,239.2,"(1, 2, 2)",3.8776666666666655,49.85098039215687,-39.81568627450981
13,"(1, -2, 2)",457.3,199.32,4.01,261.6,"(1, 2, 2)",3.8776666666666655,49.70573566084788,-64.33416458852868
14,"(-2, -2, 2)",0.52,319.77,6.4,198.1,"(2, 2, 2)",3.358157840741458,49.9640625,49.8828125
15,"(-3, 0, 0)",1462.57,143.98,2.9,287.7,"(0, 3, 0)",3.8776666666666664,49.648275862068964,-454.6862068965517
16,"(3, 0, 0)",1462.57,130.83,2.63,282.3,"(0, 3, 0)",3.8776666666666664,49.74524714828898,-506.36501901140684
17,"(-3, 1, 0)",125.13,116.16,2.34,124.5,"(0, 3, 1)",3.678677602073875,49.64102564102564,-3.833333333333333
18,"(3, 1, 0)",125.13,83.61,1.69,542.3,"(0, 3, 1)",3.6786776020738756,49.47337278106509,-24.568047337278106
19,"(-3, 0, -1)",125.13,88.04,1.79,436.5,"(0, 3, 1)",3.6786776020738756,49.184357541899445,-20.720670391061446
20,"(3, 0, 1)",125.13,84.98,1.73,431.8,"(0, 3, 1)",3.6786776020738756,49.121387283237,-23.208092485549127
21,"(0, -3, 2)",474.19,234.74,4.71,104.3,"(0, 3, 2)",3.2264136913440447,49.83864118895966,-50.838641188959656
22,"(-3, 0, -2)",474.19,270.33,5.43,524.1,"(0, 3, 2)",3.226413691344045,49.78453038674033,-37.54327808471455
23,"(-1, -3, 2)",313.59,215.24,4.32,48.0,"(1, 3, 2)",3.1090500271672328,49.824074074074076,-22.766203703703695
24,"(-1, -2, 3)",313.59,188.37,3.79,441.7,"(1, 3, 2)",3.1090500271672323,49.70184696569921,-33.0395778364116
25,"(3, -2, 1)",313.59,173.66,3.49,158.4,"(1, 3, 2)",3.1090500271672328,49.7593123209169,-40.09455587392549
