,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff,,,,
228,"(-5, 1, -1)",61.96,57.83,8.48,345.2,"(1, 5, 1)",2.238002093,6.819575472,-0.487028302,,,,
229,"(-5, -1, 1)",61.96,39.28,5.85,484.4,"(1, 5, 1)",2.238002093,6.714529915,-3.876923077,,,,
230,"(-5, 1, 1)",61.96,75.85,5.51,151.9,"(1, 5, 1)",2.238002093,13.76588022,2.520871143,,,,
231,"(5, -1, 1)",61.96,30.39,8.51,337,"(1, 5, 1)",2.238002093,3.571092832,-3.709753231,,,,
232,"(5, 1, -1)",61.96,78.72,5.74,470.2,"(1, 5, 1)",2.238002093,13.71428571,2.919860627,,,,
233,"(-5, 2, 0)",8.46,-2.62,6.32,158.1,"(0, 5, 2)",2.159451088,-0.414556962,-1.753164557,,,,
234,"(5, -2, 0)",8.46,8.21,6.77,155.9,"(0, 5, 2)",2.159451088,1.212703102,-0.036927622,,,,
235,"(-5, 0, -2)",8.46,-6.56,7.22,519.3,"(0, 5, 2)",2.159451088,-0.908587258,-2.08033241,,,,
236,"(-5, 0, 2)",8.46,22.88,4.54,123.2,"(0, 5, 2)",2.159451088,5.039647577,3.176211454,,,,
237,"(5, 0, 2)",8.46,40.44,7.16,507.2,"(0, 5, 2)",2.159451088,5.648044693,4.466480447,,,,
238,"(0, -2, 5)",8.46,13.94,7.84,500.4,"(0, 5, 2)",2.159451088,1.778061224,0.698979592,,,,
239,"(5, 0, -2)",8.46,10.88,4.84,114.5,"(0, 5, 2)",2.159451088,2.247933884,0.5,,,,
240,"(0, 2, -5)",8.46,-6.5,6.5,504.4,"(0, 5, 2)",2.159451088,-1,-2.301538462,,,,
241,"(5, -2, -1)",103.28,62.76,6.69,56.1,"(1, 5, 2)",2.123155207,9.381165919,-6.056801196,,,,
242,"(-5, 2, -1)",103.28,67.89,9.02,249.1,"(1, 5, 2)",2.123155207,7.526607539,-3.923503326,,,,
243,"(-2, 1, -5)",103.28,105.18,6.9,583.3,"(1, 5, 2)",2.123155207,15.24347826,0.275362319,,,,
244,"(-5, 1, -2)",103.28,104.98,9.15,409.6,"(1, 5, 2)",2.123155207,11.47322404,0.18579235,,,,
245,"(-1, 2, -5)",103.28,99.45,7.76,490.6,"(1, 5, 2)",2.123155207,12.81572165,-0.493556701,,,,
246,"(-5, -1, 2)",103.28,54.66,6.27,346,"(1, 5, 2)",2.123155207,8.717703349,-7.754385965,,,,
247,"(-1, -2, 5)",103.28,74.35,6.96,520.8,"(1, 5, 2)",2.123155207,10.68247126,-4.156609195,,,,
248,"(-5, 2, 1)",103.28,109.89,5.4,64,"(1, 5, 2)",2.123155207,20.35,1.224074074,,,,
249,"(2, -1, 5)",103.28,91.2,7.56,574.2,"(1, 5, 2)",2.123155207,12.06349206,-1.597883598,,,,
