,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff,,,,
764,"(2, -3, 7)",25.24,52.49,12.46,459.9,"(2, 7, 3)",1.476884477,4.212680578,2.186998395,,,,
765,"(7, 2, -3)",25.24,53.79,6.82,429,"(2, 7, 3)",1.476884477,7.887096774,4.186217009,,,,
766,"(2, 3, -7)",25.24,41.75,8.85,526,"(2, 7, 3)",1.476884477,4.717514124,1.865536723,,,,
767,"(-7, 3, -3)",62.45,65.06,12.22,314.6,"(3, 7, 3)",1.420708468,5.32405892,0.213584288,,,,
768,"(-3, 7, -3)",62.45,54.95,6.67,54.9,"(3, 7, 3)",1.420708468,8.23838081,-1.124437781,,,,
769,"(-3, 3, -7)",62.45,71.69,8.21,465.3,"(3, 7, 3)",1.420708468,8.732034105,1.12545676,,,,
770,"(-3, -3, 7)",62.45,120.05,13.83,523.2,"(3, 7, 3)",1.420708468,8.680404917,4.164859002,,,,
771,"(7, -3, 3)",62.45,101.09,15.37,304.1,"(3, 7, 3)",1.420708468,6.577098243,2.513988289,,,,
772,"(3, -7, 3)",62.45,61.63,10.61,42.8,"(3, 7, 3)",1.420708468,5.808671065,-0.07728558,,,,
773,"(3, -3, 7)",62.45,82.94,11.94,454.1,"(3, 7, 3)",1.420708468,6.94639866,1.716080402,,,,
774,"(3, 3, -7)",62.45,87.99,10.28,543.1,"(3, 7, 3)",1.420708468,8.559338521,2.484435798,,,,
775,"(-7, 4, 0)",18.62,-7.99,7.99,102.2,"(0, 7, 4)",1.442399929,-1,-3.330413016,,,,
776,"(7, -4, 0)",18.62,30.67,12.01,89.5,"(0, 7, 4)",1.442399929,2.553705246,1.003330558,,,,
777,"(0, -7, 4)",18.62,-2.13,9.77,10.9,"(0, 7, 4)",1.442399929,-0.21801433,-2.123848516,,,,
778,"(0, 7, -4)",18.62,14.32,6.4,22.8,"(0, 7, 4)",1.442399929,2.2375,-0.671875,,,,
779,"(-7, 0, -4)",18.62,35.65,11.51,551.2,"(0, 7, 4)",1.442399929,3.09730669,1.479582971,,,,
780,"(7, 0, 4)",18.62,38.75,14.28,544.9,"(0, 7, 4)",1.442399929,2.713585434,1.409663866,,,,
781,"(0, -4, 7)",18.62,27.7,14.16,392.4,"(0, 7, 4)",1.442399929,1.956214689,0.641242938,,,,
782,"(0, 4, -7)",18.62,25.52,10.13,406.5,"(0, 7, 4)",1.442399929,2.519249753,0.681145114,,,,
783,"(7, -4, -1)",0.05,15.17,11.7,19.2,"(1, 7, 4)",1.431430949,1.296581197,1.292307692,,,,
784,"(-7, 4, -1)",0.05,-3.8,9.07,152.4,"(1, 7, 4)",1.431430949,-0.418963616,-0.424476295,,,,
785,"(-1, 7, -4)",0.05,-6.01,6.01,53.5,"(1, 7, 4)",1.431430949,-1,-1.008319468,,,,
786,"(-4, 1, -7)",0.05,7.28,10.32,587.5,"(1, 7, 4)",1.431430949,0.705426357,0.700581395,,,,
787,"(-7, 1, -4)",0.05,32.43,9.59,484,"(1, 7, 4)",1.431430949,3.38164755,3.376433785,,,,
788,"(-1, 4, -7)",0.05,-4.96,9.54,396.2,"(1, 7, 4)",1.431430949,-0.519916143,-0.525157233,,,,
789,"(-1, -4, 7)",0.05,45.34,14.49,396.6,"(1, 7, 4)",1.431430949,3.12905452,3.125603865,,,,
790,"(-7, 4, 1)",0.05,-7.21,7.21,32,"(1, 7, 4)",1.431430949,-1,-1.006934813,,,,
791,"(7, -4, 1)",0.05,26.36,12.09,151.9,"(1, 7, 4)",1.431430949,2.180314309,2.17617866,,,,
792,"(1, -7, 4)",0.05,14.71,10.29,39.5,"(1, 7, 4)",1.431430949,1.429543246,1.424684159,,,,
793,"(4, -1, 7)",0.05,14.02,12.86,586.2,"(1, 7, 4)",1.431430949,1.090202177,1.086314152,,,,
794,"(7, -1, 4)",0.05,30.63,11.9,468.3,"(1, 7, 4)",1.431430949,2.57394958,2.569747899,,,,
795,"(1, -4, 7)",0.05,69.51,14.65,395.9,"(1, 7, 4)",1.431430949,4.744709898,4.741296928,,,,
796,"(1, 4, -7)",0.05,51.15,10.87,410.5,"(1, 7, 4)",1.431430949,4.705611776,4.70101196,,,,
797,"(-7, 4, -2)",8.05,8.25,10.41,201.5,"(2, 7, 4)",1.399967086,0.792507205,0.019212296,,,,
798,"(-2, 7, -4)",8.05,2.35,6.41,85.5,"(2, 7, 4)",1.399967086,0.366614665,-0.889235569,,,,
799,"(-4, 2, -7)",8.05,20.59,9.9,523.5,"(2, 7, 4)",1.399967086,2.07979798,1.266666667,,,,
800,"(-7, 2, -4)",8.05,-12.14,12.14,412.5,"(2, 7, 4)",1.399967086,-1,-1.663097199,,,,
801,"(-4, 7, -2)",8.05,26.94,7.4,26.1,"(2, 7, 4)",1.399967086,3.640540541,2.552702703,,,,
802,"(-2, 4, -7)",8.05,25.12,9.71,398.7,"(2, 7, 4)",1.399967086,2.587023687,1.757981462,,,,
803,"(-7, -2, 4)",8.05,56.2,7.74,250,"(2, 7, 4)",1.399967086,7.260981912,6.220930233,,,,
804,"(-2, -4, 7)",8.05,-14.69,14.69,392.9,"(2, 7, 4)",1.399967086,-1,-1.547991831,,,,
805,"(7, -4, 2)",8.05,50.03,11.82,206.8,"(2, 7, 4)",1.399967086,4.232656514,3.551607445,,,,
806,"(2, -7, 4)",8.05,10.55,10.47,69.7,"(2, 7, 4)",1.399967086,1.007640879,0.238777459,,,,
807,"(4, -2, 7)",8.05,41.29,13.72,514.6,"(2, 7, 4)",1.399967086,3.009475219,2.422740525,,,,
808,"(7, -2, 4)",8.05,-12.54,14.89,410.5,"(2, 7, 4)",1.399967086,-0.842175957,-1.382807253,,,,
809,"(4, -7, 2)",8.05,1.82,10.34,23.5,"(2, 7, 4)",1.399967086,0.176015474,-0.602514507,,,,
810,"(2, -4, 7)",8.05,50.87,15.06,393.2,"(2, 7, 4)",1.399967086,3.377822045,2.843293493,,,,
811,"(7, 2, -4)",8.05,25.71,6.42,226.3,"(2, 7, 4)",1.399967086,4.004672897,2.750778816,,,,
812,"(2, 4, -7)",8.05,-11.55,11.55,404.5,"(2, 7, 4)",1.399967086,-1,-1.696969697,,,,
813,"(-7, 4, -3)",37.93,38.23,11.47,262,"(3, 7, 4)",1.351843791,3.33304272,0.026155187,,,,
814,"(-3, 7, -4)",37.93,32.02,7.14,109.2,"(3, 7, 4)",1.351843791,4.484593838,-0.827731092,,,,
815,"(-4, 3, -7)",37.93,40.95,9.1,460.3,"(3, 7, 4)",1.351843791,4.5,0.331868132,,,,
816,"(-4, -3, 7)",37.93,16.45,13.74,551.3,"(3, 7, 4)",1.351843791,1.197234352,-1.563318777,,,,
817,"(-7, 3, -4)",37.93,42.34,12.61,353.2,"(3, 7, 4)",1.351843791,3.357652657,0.349722443,,,,
818,"(-4, 7, -3)",37.93,70.33,7.59,81.9,"(3, 7, 4)",1.351843791,9.266139657,4.268774704,,,,
819,"(-3, 4, -7)",37.93,93.86,10.74,399.6,"(3, 7, 4)",1.351843791,8.739292365,5.207635009,,,,
820,"(-3, -4, 7)",37.93,-0.86,13.94,391.5,"(3, 7, 4)",1.351843791,-0.06169297,-2.782639885,,,,
821,"(7, -4, 3)",37.93,80.9,14.87,249.8,"(3, 7, 4)",1.351843791,5.440484196,2.889710827,,,,
822,"(3, -7, 4)",37.93,70.33,11.32,92.9,"(3, 7, 4)",1.351843791,6.212897527,2.862190813,,,,
823,"(4, -3, 7)",37.93,84.24,12.18,447.3,"(3, 7, 4)",1.351843791,6.916256158,3.802134647,,,,
824,"(4, 3, -7)",37.93,-11.36,11.36,575.5,"(3, 7, 4)",1.351843791,-1,-4.338908451,,,,
825,"(7, -3, 4)",37.93,59.12,16.25,342.9,"(3, 7, 4)",1.351843791,3.638153846,1.304,,,,
826,"(4, -7, 3)",37.93,28.61,10.93,68.7,"(3, 7, 4)",1.351843791,2.617566331,-0.852698994,,,,
827,"(3, -4, 7)",37.93,-15.86,15.86,396.8,"(3, 7, 4)",1.351843791,-1,-3.391551072,,,,
828,"(3, 4, -7)",37.93,20.2,11.86,409,"(3, 7, 4)",1.351843791,1.703204047,-1.494940978,,,,
829,"(-7, 4, -4)",0.47,-9.62,14.79,302.8,"(4, 7, 4)",1.292111111,-0.650439486,-0.682217715,,,,
830,"(-4, 7, -4)",0.47,-4.43,8.46,133.4,"(4, 7, 4)",1.292111111,-0.523640662,-0.579196217,,,,
831,"(-4, 4, -7)",0.47,-11.81,11.81,395.5,"(4, 7, 4)",1.292111111,-1,-1.039796782,,,,
832,"(-4, -4, 7)",0.47,8.31,12.99,409.3,"(4, 7, 4)",1.292111111,0.639722864,0.603541186,,,,
833,"(7, -4, 4)",0.47,-16.88,16.88,0,"(4, 7, 4)",1.292111111,-1,-1.027843602,,,,
834,"(4, -7, 4)",0.47,-11.79,11.79,122.6,"(4, 7, 4)",1.292111111,-1,-1.039864292,,,,
835,"(4, -4, 7)",0.47,33.37,16.77,394.7,"(4, 7, 4)",1.292111111,1.98986285,1.961836613,,,,
836,"(4, 4, -7)",0.47,27.54,12.3,423.5,"(4, 7, 4)",1.292111111,2.23902439,2.200813008,,,,
837,"(-7, 5, 0)",18.77,22.88,7.43,56.9,"(0, 7, 5)",1.351843791,3.079407806,0.553162853,,,,
838,"(7, -5, 0)",18.77,-12.65,12.65,54.4,"(0, 7, 5)",1.351843791,-1,-2.483794466,,,,
839,"(0, -7, 5)",18.77,15.04,11.1,82.1,"(0, 7, 5)",1.351843791,1.354954955,-0.336036036,,,,
840,"(0, 7, -5)",18.77,2.36,6.72,92.9,"(0, 7, 5)",1.351843791,0.351190476,-2.441964286,,,,
841,"(-7, 0, -5)",18.77,34.54,13.19,576.9,"(0, 7, 5)",1.351843791,2.618650493,1.195602729,,,,
842,"(7, 0, 5)",18.77,64.35,16.36,564.3,"(0, 7, 5)",1.351843791,3.933374083,2.78606357,,,,
843,"(0, -5, 7)",18.77,-16.08,16.08,310,"(0, 7, 5)",1.351843791,-1,-2.167288557,,,,
844,"(0, 5, -7)",18.77,43.52,9.43,328.2,"(0, 7, 5)",1.351843791,4.615058324,2.624602333,,,,
845,"(-7, 5, -1)",22.54,49.11,8.51,116,"(1, 7, 5)",1.342801256,5.770857814,3.122209166,,,,
846,"(-1, 7, -5)",22.54,30.63,6.81,114,"(1, 7, 5)",1.342801256,4.497797357,1.187958884,,,,
847,"(-5, 1, -7)",22.54,9.11,13.87,574.3,"(1, 7, 5)",1.342801256,0.656813266,-0.968276857,,,,
848,"(-1, -7, 5)",22.54,8.21,11.34,52.5,"(1, 7, 5)",1.342801256,0.723985891,-1.26366843,,,,
849,"(-7, 1, -5)",22.54,-2.05,10.33,496.5,"(1, 7, 5)",1.342801256,-0.198451113,-2.380445305,,,,
850,"(-1, 5, -7)",22.54,17.99,9.03,337.1,"(1, 7, 5)",1.342801256,1.992248062,-0.503875969,,,,
851,"(-1, -5, 7)",22.54,21.7,16.4,300.5,"(1, 7, 5)",1.342801256,1.323170732,-0.051219512,,,,
852,"(7, -5, 1)",22.54,36.46,12.73,101.1,"(1, 7, 5)",1.342801256,2.86410055,1.093479969,,,,
853,"(1, -7, 5)",22.54,71.82,11.52,103.2,"(1, 7, 5)",1.342801256,6.234375,4.277777778,,,,
854,"(5, -1, 7)",22.54,86.01,15.46,564.7,"(1, 7, 5)",1.342801256,5.563389392,4.105433376,,,,
855,"(1, 7, -5)",22.54,15.31,6.94,60,"(1, 7, 5)",1.342801256,2.206051873,-1.041786744,,,,
856,"(7, -1, 5)",22.54,41.53,13.77,497.5,"(1, 7, 5)",1.342801256,3.015976761,1.379084967,,,,
857,"(1, -5, 7)",22.54,57.2,15.63,318.4,"(1, 7, 5)",1.342801256,3.659628919,2.21753039,,,,
858,"(1, 5, -7)",22.54,47.81,10.5,323.6,"(1, 7, 5)",1.342801256,4.553333333,2.406666667,,,,
859,"(-7, 5, -2)",2.05,32.9,9.22,182.6,"(2, 7, 5)",1.316724963,3.568329718,3.345986985,,,,
860,"(-2, 7, -5)",2.05,-0.24,7.18,138.1,"(2, 7, 5)",1.316724963,-0.033426184,-0.318941504,,,,
861,"(-5, 2, -7)",2.05,-1.12,10.5,510.5,"(2, 7, 5)",1.316724963,-0.106666667,-0.301904762,,,,
862,"(-2, -7, 5)",2.05,-11.08,11.08,23.9,"(2, 7, 5)",1.316724963,-1,-1.185018051,,,,
863,"(-7, 2, -5)",2.05,-10.6,10.6,446.8,"(2, 7, 5)",1.316724963,-1,-1.193396226,,,,
864,"(-5, 7, -2)",2.05,4.21,7.5,49,"(2, 7, 5)",1.316724963,0.561333333,0.288,,,,
865,"(-2, 5, -7)",2.05,7.41,9.19,348.5,"(2, 7, 5)",1.316724963,0.806311208,0.583242655,,,,
866,"(-2, -5, 7)",2.05,-14.44,14.44,302.9,"(2, 7, 5)",1.316724963,-1,-1.141966759,,,,
867,"(7, -5, 2)",2.05,13.87,12.68,160,"(2, 7, 5)",1.316724963,1.09384858,0.932176656,,,,
868,"(2, -7, 5)",2.05,-4.82,11.58,134.4,"(2, 7, 5)",1.316724963,-0.416234888,-0.593264249,,,,
869,"(5, -2, 7)",2.05,26.27,14.16,495.5,"(2, 7, 5)",1.316724963,1.855225989,1.710451977,,,,
870,"(2, 7, -5)",2.05,-7.71,7.71,16.2,"(2, 7, 5)",1.316724963,-1,-1.265888457,,,,
871,"(7, -2, 5)",2.05,-4.63,13.28,440.4,"(2, 7, 5)",1.316724963,-0.348644578,-0.503012048,,,,
872,"(5, -7, 2)",2.05,-0.52,11.88,29.5,"(2, 7, 5)",1.316724963,-0.043771044,-0.216329966,,,,
873,"(2, -5, 7)",2.05,22.98,15.31,340.1,"(2, 7, 5)",1.316724963,1.500979752,1.36708034,,,,
874,"(2, 5, -7)",2.05,-10.93,10.93,309.4,"(2, 7, 5)",1.316724963,-1,-1.187557182,,,,
875,"(-7, 5, -3)",7.35,11.2,11.23,212.9,"(3, 7, 5)",1.276448579,0.997328584,0.342831701,,,,
876,"(-3, 7, -5)",7.35,0.23,7.43,162.3,"(3, 7, 5)",1.276448579,0.030955585,-0.958277254,,,,
877,"(-5, 3, -7)",7.35,26.35,10.76,0,"(3, 7, 5)",1.276448579,2.448884758,1.765799257,,,,
878,"(-7, 3, -5)",7.35,13.49,13.49,390.7,"(3, 7, 5)",1.276448579,1,0.455151964,,,,
879,"(-5, 7, -3)",7.35,16.8,8.61,103.5,"(3, 7, 5)",1.276448579,1.951219512,1.097560976,,,,
880,"(-3, 5, -7)",7.35,12.63,9.77,344.2,"(3, 7, 5)",1.276448579,1.292732856,0.540429887,,,,
881,"(-3, -5, 7)",7.35,-5.85,13.74,273.8,"(3, 7, 5)",1.276448579,-0.425764192,-0.96069869,,,,
882,"(7, -5, 3)",7.35,-13.1,13.1,204.8,"(3, 7, 5)",1.276448579,-1,-1.561068702,,,,
883,"(3, -7, 5)",7.35,23.14,12.54,147.9,"(3, 7, 5)",1.276448579,1.845295056,1.259170654,,,,
884,"(5, -3, 7)",7.35,84.24,13.23,446,"(3, 7, 5)",1.276448579,6.367346939,5.811791383,,,,
885,"(7, -3, 5)",7.35,50.4,17.13,384,"(3, 7, 5)",1.276448579,2.942206655,2.513134851,,,,
886,"(5, -7, 3)",7.35,-6.88,11.8,91.6,"(3, 7, 5)",1.276448579,-0.583050847,-1.205932203,,,,
887,"(3, -5, 7)",7.35,50.66,16.36,326.3,"(3, 7, 5)",1.276448579,3.096577017,2.647310513,,,,
888,"(3, 5, -7)",7.35,36.19,10.39,298.2,"(3, 7, 5)",1.276448579,3.483156882,2.77574591,,,,
889,"(-7, 5, -4)",91.24,71.62,12.2,254.9,"(4, 7, 5)",1.22580423,5.870491803,-1.608196721,,,,
890,"(-4, 7, -5)",91.24,148.29,9.67,173.9,"(4, 7, 5)",1.22580423,15.33505688,5.899689762,,,,
891,"(-5, 4, -7)",91.24,100.41,13.86,400.4,"(4, 7, 5)",1.22580423,7.244588745,0.661616162,,,,
892,"(-5, -4, 7)",91.24,89.83,13.38,389.4,"(4, 7, 5)",1.22580423,6.713751868,-0.105381166,,,,
893,"(-7, 4, -5)",91.24,118.14,12.81,340.3,"(4, 7, 5)",1.22580423,9.222482436,2.099921936,,,,
894,"(-5, 7, -4)",91.24,91.33,9.82,147.1,"(4, 7, 5)",1.22580423,9.300407332,0.009164969,,,,
895,"(-4, 5, -7)",91.24,137.51,11.49,346.6,"(4, 7, 5)",1.22580423,11.96779809,4.026979983,,,,
896,"(7, -5, 4)",91.24,109.75,15.57,241.6,"(4, 7, 5)",1.22580423,7.048811818,1.188824663,,,,
897,"(4, -7, 5)",91.24,92.97,14.28,160.5,"(4, 7, 5)",1.22580423,6.510504202,0.121148459,,,,
898,"(5, -4, 7)",91.24,150.88,17.86,387,"(4, 7, 5)",1.22580423,8.447928331,3.339305711,,,,
899,"(5, 4, -7)",91.24,35.42,11.73,426.4,"(4, 7, 5)",1.22580423,3.019607843,-4.758738278,,,,
900,"(7, -4, 5)",91.24,45.01,16.31,327.3,"(4, 7, 5)",1.22580423,2.759656652,-2.834457388,,,,
901,"(5, -7, 4)",91.24,106.82,12.9,133.3,"(4, 7, 5)",1.22580423,8.280620155,1.207751938,,,,
902,"(4, -5, 7)",91.24,61.82,17.03,334.3,"(4, 7, 5)",1.22580423,3.630064592,-1.727539636,,,,
903,"(4, 5, -7)",91.24,140.58,11.28,287.4,"(4, 7, 5)",1.22580423,12.46276596,4.374113475,,,,
904,"(-7, 5, -5)",41.47,75.99,13.5,293.2,"(5, 7, 5)",1.168758475,5.628888889,2.557037037,,,,
905,"(-5, 7, -5)",41.47,78.65,11.32,187.6,"(5, 7, 5)",1.168758475,6.947879859,3.284452297,,,,
906,"(-5, 5, -7)",41.47,76.94,12.72,350.4,"(5, 7, 5)",1.168758475,6.048742138,2.788522013,,,,
907,"(-5, -5, 7)",41.47,42.37,12.87,235.2,"(5, 7, 5)",1.168758475,3.292152292,0.06993007,,,,
908,"(7, -5, 5)",41.47,89.83,16.58,280.1,"(5, 7, 5)",1.168758475,5.417973462,2.916767189,,,,
909,"(5, -7, 5)",41.47,35.43,15.48,174.2,"(5, 7, 5)",1.168758475,2.28875969,-0.390180879,,,,
910,"(5, -5, 7)",41.47,-13.4,16.72,336.6,"(5, 7, 5)",1.168758475,-0.801435407,-3.281698565,,,,
911,"(5, 5, -7)",41.47,29.18,10.33,267.5,"(5, 7, 5)",1.168758475,2.824782188,-1.189738625,,,,
912,"(-7, 6, 0)",0.08,15.14,8.27,18.9,"(0, 7, 6)",1.261342147,1.830713422,1.821039903,,,,
913,"(7, -6, 0)",0.08,-9.62,13.41,21.3,"(0, 7, 6)",1.261342147,-0.717375093,-0.72334079,,,,
914,"(0, -7, 6)",0.08,5.86,13.25,144.3,"(0, 7, 6)",1.261342147,0.442264151,0.436226415,,,,
915,"(0, 7, -6)",0.08,-2.39,7.52,151.4,"(0, 7, 6)",1.261342147,-0.317819149,-0.328457447,,,,
916,"(-7, 0, -6)",0.08,34.84,12.93,584.7,"(0, 7, 6)",1.261342147,2.694508894,2.688321732,,,,
917,"(7, 0, 6)",0.08,-16.49,16.49,0,"(0, 7, 6)",1.261342147,-1,-1.004851425,,,,
918,"(0, -6, 7)",0.08,-17.94,17.94,253.9,"(0, 7, 6)",1.261342147,-1,-1.004459309,,,,
919,"(0, 6, -7)",0.08,-3.47,9.19,270.4,"(0, 7, 6)",1.261342147,-0.377584331,-0.386289445,,,,
920,"(-7, 6, -1)",6.07,-8.51,8.51,0,"(1, 7, 6)",1.25398732,-1,-1.713278496,,,,
921,"(-1, 7, -6)",6.07,10.01,7.68,171,"(1, 7, 6)",1.25398732,1.303385417,0.513020833,,,,
922,"(-6, 1, -7)",6.07,11.11,14.02,560.8,"(1, 7, 6)",1.25398732,0.792439372,0.359486448,,,,
923,"(-1, -7, 6)",6.07,6.81,13.42,114.7,"(1, 7, 6)",1.25398732,0.507451565,0.05514158,,,,
924,"(-7, 1, -6)",6.07,-5.17,12.27,531.8,"(1, 7, 6)",1.25398732,-0.421352893,-0.91605542,,,,
925,"(-6, 7, -1)",6.07,-8.06,8.06,21.2,"(1, 7, 6)",1.25398732,-1,-1.753101737,,,,
926,"(-1, 6, -7)",6.07,39.36,9.52,270.1,"(1, 7, 6)",1.25398732,4.134453782,3.496848739,,,,
927,"(-1, -6, 7)",6.07,8.79,17.29,235.8,"(1, 7, 6)",1.25398732,0.50838635,0.157316368,,,,
928,"(7, -6, 1)",6.07,21.84,13.56,75.6,"(1, 7, 6)",1.25398732,1.610619469,1.162979351,,,,
929,"(1, -7, 6)",6.07,-13.89,13.89,152,"(1, 7, 6)",1.25398732,-1,-1.43700504,,,,
930,"(6, -1, 7)",6.07,69.85,17.03,554.7,"(1, 7, 6)",1.25398732,4.101585437,3.745155608,,,,
931,"(1, 7, -6)",6.07,34.26,8.1,128.8,"(1, 7, 6)",1.25398732,4.22962963,3.480246914,,,,
932,"(7, -1, 6)",6.07,39.01,16.43,524.4,"(1, 7, 6)",1.25398732,2.374315277,2.004869142,,,,
933,"(6, -7, 1)",6.07,-12.67,12.67,15.9,"(1, 7, 6)",1.25398732,-1,-1.479084451,,,,
934,"(1, -6, 7)",6.07,12.8,17.53,269.7,"(1, 7, 6)",1.25398732,0.73017684,0.383913292,,,,
935,"(1, 6, -7)",6.07,-9.66,9.66,246.9,"(1, 7, 6)",1.25398732,-1,-1.628364389,,,,
936,"(-7, 6, -2)",16.03,7.8,9.75,123.8,"(2, 7, 6)",1.232671535,0.8,-0.844102564,,,,
937,"(-2, 7, -6)",16.03,14.35,8.43,186.8,"(2, 7, 6)",1.232671535,1.702253855,-0.199288256,,,,
938,"(-6, 2, -7)",16.03,29.27,11.72,510.2,"(2, 7, 6)",1.232671535,2.497440273,1.129692833,,,,
939,"(-2, -7, 6)",16.03,20.68,13.7,97.1,"(2, 7, 6)",1.232671535,1.509489051,0.339416058,,,,
940,"(-7, 2, -6)",16.03,40.79,11.36,474.7,"(2, 7, 6)",1.232671535,3.590669014,2.179577465,,,,
941,"(-6, 7, -2)",16.03,20.09,8.12,72.2,"(2, 7, 6)",1.232671535,2.474137931,0.5,,,,
942,"(-2, 6, -7)",16.03,5.09,9.67,282.3,"(2, 7, 6)",1.232671535,0.526370217,-1.131334023,,,,
943,"(-2, -6, 7)",16.03,4.54,16.35,215.7,"(2, 7, 6)",1.232671535,0.277675841,-0.702752294,,,,
944,"(7, -6, 2)",16.03,-13.66,13.66,118.4,"(2, 7, 6)",1.232671535,-1,-2.173499268,,,,
945,"(2, -7, 6)",16.03,6.29,14.72,174.8,"(2, 7, 6)",1.232671535,0.427309783,-0.661684783,,,,
946,"(6, -2, 7)",16.03,17.51,15.4,498.7,"(2, 7, 6)",1.232671535,1.137012987,0.096103896,,,,
947,"(2, 7, -6)",16.03,-4.24,8.63,101.5,"(2, 7, 6)",1.232671535,-0.491309386,-2.348783314,,,,
948,"(7, -2, 6)",16.03,33.78,14.05,462.9,"(2, 7, 6)",1.232671535,2.404270463,1.263345196,,,,
949,"(6, -7, 2)",16.03,2.4,12.86,62.7,"(2, 7, 6)",1.232671535,0.186625194,-1.059875583,,,,
950,"(2, -6, 7)",16.03,1.81,17.11,272,"(2, 7, 6)",1.232671535,0.10578609,-0.831092928,,,,
951,"(2, 6, -7)",16.03,21.96,10.35,235.4,"(2, 7, 6)",1.232671535,2.12173913,0.57294686,,,,
952,"(-7, 6, -3)",5.02,-3.92,10.29,164.6,"(3, 7, 6)",1.199439767,-0.380952381,-0.868804665,,,,
953,"(-3, 7, -6)",5.02,31.57,9.6,202,"(3, 7, 6)",1.199439767,3.288541667,2.765625,,,,
954,"(-6, 3, -7)",5.02,42.34,13.01,453.8,"(3, 7, 6)",1.199439767,3.254419677,2.868562644,,,,
955,"(-3, -7, 6)",5.02,-9.17,13.05,62,"(3, 7, 6)",1.199439767,-0.702681992,-1.087356322,,,,
956,"(-7, 3, -6)",5.02,45.24,13.29,422.1,"(3, 7, 6)",1.199439767,3.404063205,3.026335591,,,,
957,"(-6, 7, -3)",5.02,-9.51,9.51,116.3,"(3, 7, 6)",1.199439767,-1,-1.527865405,,,,
958,"(-3, 6, -7)",5.02,-6.33,10.2,299.5,"(3, 7, 6)",1.199439767,-0.620588235,-1.112745098,,,,
959,"(-3, -6, 7)",5.02,47.13,15.63,201.3,"(3, 7, 6)",1.199439767,3.015355086,2.694177863,,,,
960,"(7, -6, 3)",5.02,34.15,14.24,155.8,"(3, 7, 6)",1.199439767,2.398174157,2.045646067,,,,
961,"(3, -7, 6)",5.02,40.6,15.8,193.7,"(3, 7, 6)",1.199439767,2.569620253,2.251898734,,,,
962,"(6, -3, 7)",5.02,8.02,15.93,440.8,"(3, 7, 6)",1.199439767,0.503452605,0.188323917,,,,
963,"(3, 7, -6)",5.02,12.16,8.79,73.4,"(3, 7, 6)",1.199439767,1.383390216,0.812286689,,,,
964,"(7, -3, 6)",5.02,30.72,16.52,420.4,"(3, 7, 6)",1.199439767,1.859564165,1.555690073,,,,
965,"(6, -7, 3)",5.02,-13.41,13.41,115.7,"(3, 7, 6)",1.199439767,-1,-1.374347502,,,,
966,"(3, -6, 7)",5.02,30.72,17.07,283.9,"(3, 7, 6)",1.199439767,1.799648506,1.505565319,,,,
967,"(3, 6, -7)",5.02,-2.34,10.82,217,"(3, 7, 6)",1.199439767,-0.216266174,-0.680221811,,,,
968,"(-7, 6, -4)",33.2,37.99,12.71,214,"(4, 7, 6)",1.157128748,2.988985051,0.376868607,,,,
969,"(-4, 7, -6)",33.2,42.36,10.59,215.4,"(4, 7, 6)",1.157128748,4,0.86496695,,,,
970,"(-6, 4, -7)",33.2,37.01,14.82,405.9,"(4, 7, 6)",1.157128748,2.497300945,0.25708502,,,,
971,"(-4, -7, 6)",33.2,63.66,11.53,16.3,"(4, 7, 6)",1.157128748,5.521248916,2.64180399,,,,
972,"(-6, -4, 7)",33.2,40.39,12.35,386.1,"(4, 7, 6)",1.157128748,3.270445344,0.582186235,,,,
973,"(-7, 4, -6)",33.2,37.52,13.4,370.9,"(4, 7, 6)",1.157128748,2.8,0.32238806,,,,
974,"(-6, 7, -4)",33.2,71.35,10.44,162.4,"(4, 7, 6)",1.157128748,6.834291188,3.654214559,,,,
975,"(-4, 6, -7)",33.2,31.44,12.08,297.9,"(4, 7, 6)",1.157128748,2.602649007,-0.145695364,,,,
976,"(-7, -4, 6)",33.2,55.1,6.72,62.3,"(4, 7, 6)",1.157128748,8.199404762,3.258928571,,,,
977,"(-4, -6, 7)",33.2,14.57,14.46,167.8,"(4, 7, 6)",1.157128748,1.007607192,-1.288381743,,,,
978,"(7, -6, 4)",33.2,37.12,15.08,201.6,"(4, 7, 6)",1.157128748,2.461538462,0.25994695,,,,
979,"(4, -7, 6)",33.2,41.83,16.3,206.5,"(4, 7, 6)",1.157128748,2.566257669,0.529447853,,,,
980,"(6, -4, 7)",33.2,24.44,17.87,389.2,"(4, 7, 6)",1.157128748,1.367655288,-0.490207051,,,,
981,"(4, 7, -6)",33.2,59.24,8.75,29,"(4, 7, 6)",1.157128748,6.770285714,2.976,,,,
982,"(6, 4, -7)",33.2,-10.74,10.74,443.8,"(4, 7, 6)",1.157128748,-1,-4.091247672,,,,
983,"(7, -4, 6)",33.2,80.21,18.06,362.4,"(4, 7, 6)",1.157128748,4.441306755,2.602990033,,,,
984,"(6, -7, 4)",33.2,32.06,13.77,150.4,"(4, 7, 6)",1.157128748,2.328249818,-0.082788671,,,,
985,"(4, -6, 7)",33.2,11.98,16.62,284.8,"(4, 7, 6)",1.157128748,0.720818291,-1.27677497,,,,
986,"(7, 4, -6)",33.2,38.88,5.51,185.5,"(4, 7, 6)",1.157128748,7.056261343,1.030852995,,,,
