,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(1, 0, 0)",2713.71,2354.92,47.27,381.5,"(0, 1, 0)",11.615000000000004,49.81848952824201,-7.59022635921303
1,"(0, -1, 1)",1479.21,1509.91,30.43,197.0,"(0, 1, 1)",8.213045263481751,49.61912586263556,1.008872822872167
2,"(0, 1, -1)",1479.21,1356.69,27.36,201.0,"(0, 1, 1)",8.213045263481751,49.58662280701755,-4.478070175438596
3,"(-1, 1, -1)",2546.33,2240.3,45.17,271.3,"(1, 1, 1)",6.705923376637504,49.597077706442334,-6.775071950409558
4,"(1, -1, 1)",2546.33,2616.9,52.74,266.2,"(1, 1, 1)",6.705923376637504,49.618885096700794,1.3380735684489982
5,"(-2, 0, 0)",156.88,1239.74,25.24,391.4,"(0, 2, 0)",5.807500000000002,49.11806656101427,42.90253565768622
6,"(2, 0, 0)",156.88,1240.91,25.32,386.7,"(0, 2, 0)",5.807500000000002,49.00908372827804,42.813191153238556
7,"(-2, 1, 0)",362.37,349.12,7.61,124.1,"(0, 2, 1)",5.194385911732013,45.876478318002626,-1.7411300919842312
8,"(2, -1, 0)",362.37,290.23,6.69,119.6,"(0, 2, 1)",5.194385911732013,43.38266068759342,-10.783258594917784
9,"(-2, 0, -1)",362.37,315.84,6.91,538.8,"(0, 2, 1)",5.194385911732013,45.707670043415334,-6.733719247467443
10,"(2, 0, 1)",362.37,356.6,7.76,534.4,"(0, 2, 1)",5.194385911732013,45.953608247422686,-0.7435567010309255
11,"(0, -1, 2)",362.37,406.19,8.96,437.1,"(0, 2, 1)",5.194385911732013,45.333705357142854,4.890624999999999
12,"(0, 1, -2)",362.37,415.49,9.09,441.7,"(0, 2, 1)",5.194385911732013,45.70847084708471,5.843784378437844
13,"(-2, 1, -1)",107.35,126.43,5.78,305.2,"(1, 2, 1)",4.74180389373777,21.87370242214533,3.301038062283739
14,"(-1, 2, -1)",107.35,169.65,4.58,90.3,"(1, 2, 1)",4.74180389373777,37.04148471615721,13.602620087336247
15,"(-1, 1, -2)",107.35,122.75,5.14,427.5,"(1, 2, 1)",4.74180389373777,23.881322957198446,2.9961089494163438
16,"(-1, -1, 2)",107.35,138.77,3.87,469.7,"(1, 2, 1)",4.74180389373777,35.85788113695091,8.11886304909561
17,"(1, -2, 1)",107.35,177.83,5.03,87.6,"(1, 2, 1)",4.74180389373777,35.35387673956262,14.011928429423461
18,"(1, -1, 2)",107.35,137.95,5.67,423.1,"(1, 2, 1)",4.74180389373777,24.32980599647266,5.396825396825396
19,"(1, 1, -2)",107.35,157.01,4.11,479.7,"(1, 2, 1)",4.74180389373777,38.20194647201946,12.082725060827249
20,"(0, -2, 2)",1246.93,1509.91,30.8,196.0,"(0, 2, 2)",4.106522631740876,49.02305194805195,8.538311688311689
21,"(0, 2, -2)",1246.93,1552.6,31.54,201.2,"(0, 2, 2)",4.106522631740876,49.22637920101458,9.691502853519335
22,"(-2, 1, -2)",485.69,660.22,14.68,419.7,"(1, 2, 2)",3.871666666666668,44.974114441416894,11.888964577656678
23,"(-2, 2, -1)",485.69,603.49,12.88,152.9,"(1, 2, 2)",3.871666666666667,46.85481366459627,9.145962732919255
24,"(-1, 2, -2)",485.69,616.36,13.66,244.2,"(1, 2, 2)",3.871666666666667,45.12152269399707,9.565885797950221
